wl,n,k
1.164834973129775353e+00,2.603603410056467560e+00,6.124519527885057713e+00
1.170194197390014290e+00,2.625634169397598416e+00,6.147886178745315178e+00
1.175553421650253227e+00,2.647664928738729273e+00,6.171252829605573531e+00
1.180912645910492387e+00,2.669695688079860130e+00,6.194619480465830996e+00
1.186271870170731324e+00,2.691726447420990986e+00,6.217986131326088461e+00
1.191631094430970261e+00,2.713757206762121843e+00,6.241352782186346815e+00
1.196990318691209199e+00,2.732320634458752284e+00,6.264719433046604280e+00
1.202349542951448358e+00,2.743374198112954687e+00,6.288086083906861745e+00
1.207708767211687295e+00,2.754427761767156646e+00,6.311447794455381732e+00
1.213067991471926232e+00,2.765481325421358605e+00,6.334705970943931952e+00
1.218427215732165170e+00,2.776534889075560564e+00,6.357964147432481283e+00
1.223786439992404329e+00,2.787588452729762523e+00,6.381222323921031503e+00
1.229145664252643266e+00,2.798642016383964481e+00,6.404480500409581722e+00
1.234504888512882426e+00,2.809695580038166884e+00,6.427738676898132830e+00
1.239864112773121363e+00,2.820749143692368843e+00,6.450996853386682162e+00
1.245223337033360522e+00,2.831802707346570802e+00,6.474255029875232381e+00
1.250582561293599460e+00,2.842856271000772761e+00,6.497513206363782601e+00
1.255941785553838397e+00,2.853909834654974720e+00,6.520771382852331932e+00
1.261301009814077556e+00,2.863486634472292902e+00,6.544029559340883040e+00
1.266660234074316493e+00,2.872425505451237537e+00,6.567287735829433259e+00
1.272019458334555653e+00,2.881364376430181728e+00,6.590545912317983479e+00
1.277378682594794590e+00,2.890303247409125920e+00,6.613804088806532810e+00
1.282737906855033527e+00,2.899242118388070555e+00,6.637062265295083030e+00
1.288097131115272465e+00,2.908180989367014746e+00,6.660320441783633250e+00
1.293456355375511624e+00,2.917119860345958937e+00,6.677602064505215651e+00
1.298815579635750561e+00,2.926058731324903572e+00,6.692016673753078848e+00
1.304174803895989498e+00,2.934997602303847763e+00,6.706431283000942045e+00
1.309534028156228436e+00,2.945302732556149827e+00,6.720845892248806130e+00
1.314893252416467595e+00,2.964729954798989819e+00,6.735260501496669328e+00
1.320252476676706532e+00,2.984157177041830256e+00,6.749675110744532525e+00
1.325611700936945470e+00,3.003584399284670692e+00,6.764089719992395722e+00
1.330970925197184629e+00,3.023011621527512016e+00,6.778504329240259807e+00
1.336330149457423788e+00,3.042438843770352452e+00,6.792918938488123004e+00
1.341689373717662725e+00,3.061866066013192889e+00,6.807333547735986201e+00
