wl,n,k
5.085399999999999920e-01,2.345028000000000112e+00,9.488229999999999720e-01
5.101299999999999724e-01,2.335357000000000127e+00,9.465050000000000407e-01
5.117199999999999527e-01,2.325623999999999914e+00,9.444120000000000292e-01
5.132999999999999785e-01,2.315836000000000006e+00,9.425430000000000197e-01
5.148899999999999588e-01,2.305997000000000074e+00,9.408940000000000081e-01
5.164699999999999847e-01,2.296113000000000071e+00,9.394599999999999618e-01
5.180599999999999650e-01,2.286188000000000109e+00,9.382380000000000164e-01
5.196499999999999453e-01,2.276225999999999861e+00,9.372260000000000035e-01
5.212299999999999711e-01,2.266232000000000024e+00,9.364179999999999726e-01
5.228199999999999514e-01,2.256209000000000131e+00,9.358130000000000059e-01
5.243999999999999773e-01,2.246160999999999852e+00,9.354080000000000172e-01
5.259899999999999576e-01,2.236091000000000051e+00,9.351979999999999738e-01
5.275800000000000489e-01,2.226001000000000118e+00,9.351819999999999578e-01
5.291599999999999637e-01,2.215895999999999866e+00,9.353569999999999940e-01
5.307500000000000551e-01,2.205776999999999877e+00,9.357199999999999962e-01
5.323299999999999699e-01,2.195647000000000126e+00,9.362679999999999891e-01
5.339199999999999502e-01,2.185509000000000146e+00,9.370000000000000551e-01
5.355100000000000415e-01,2.175365000000000215e+00,9.379129999999999967e-01
5.370899999999999563e-01,2.165216000000000030e+00,9.390039999999999498e-01
5.386800000000000477e-01,2.155066999999999844e+00,9.402719999999999967e-01
5.402599999999999625e-01,2.144916999999999963e+00,9.417149999999999688e-01
5.418500000000000538e-01,2.134770000000000056e+00,9.433310000000000306e-01
5.434400000000000341e-01,2.124626999999999821e+00,9.451180000000000136e-01
5.450199999999999489e-01,2.114488999999999841e+00,9.470739999999999714e-01
5.466100000000000403e-01,2.104359999999999786e+00,9.491969999999999574e-01
5.481899999999999551e-01,2.094240999999999797e+00,9.514869999999999717e-01
5.497800000000000464e-01,2.084131999999999874e+00,9.539410000000000389e-01
5.513599999999999612e-01,2.074037000000000130e+00,9.565590000000000481e-01
5.529500000000000526e-01,2.063956000000000124e+00,9.593380000000000241e-01
5.545400000000000329e-01,2.053891999999999829e+00,9.622779999999999667e-01
5.561199999999999477e-01,2.043845999999999830e+00,9.653779999999999584e-01
5.577100000000000390e-01,2.033819999999999961e+00,9.686350000000000238e-01
5.592899999999999539e-01,2.023814999999999920e+00,9.720490000000000519e-01
5.608800000000000452e-01,2.013832999999999984e+00,9.756190000000000140e-01
5.624599999999999600e-01,2.003875999999999991e+00,9.793429999999999636e-01
5.640500000000000513e-01,1.993945999999999996e+00,9.832210000000000116e-01
5.656299999999999661e-01,1.984043000000000001e+00,9.872520000000000184e-01
5.672199999999999465e-01,1.974170999999999898e+00,9.914340000000000375e-01
5.688100000000000378e-01,1.964329999999999909e+00,9.957669999999999577e-01
5.703899999999999526e-01,1.954522000000000093e+00,1.000250000000000083e+00
5.719800000000000439e-01,1.944749000000000061e+00,1.004880999999999913e+00
5.735599999999999588e-01,1.935011999999999954e+00,1.009660000000000002e+00
5.751500000000000501e-01,1.925313999999999970e+00,1.014585000000000070e+00
5.767299999999999649e-01,1.915656000000000025e+00,1.019657000000000036e+00
5.783199999999999452e-01,1.906041000000000096e+00,1.024872999999999923e+00
5.798999999999999710e-01,1.896468999999999960e+00,1.030232999999999954e+00
5.814899999999999514e-01,1.886943000000000037e+00,1.035735000000000072e+00
5.830699999999999772e-01,1.877464000000000022e+00,1.041379999999999972e+00
5.846599999999999575e-01,1.868033999999999972e+00,1.047166000000000041e+00
5.862399999999999833e-01,1.858656000000000086e+00,1.053090999999999999e+00
5.878299999999999637e-01,1.849331000000000058e+00,1.059155000000000069e+00
5.894099999999999895e-01,1.840060999999999947e+00,1.065355999999999970e+00
5.909999999999999698e-01,1.830846999999999891e+00,1.071693999999999924e+00
5.925799999999999956e-01,1.821693000000000007e+00,1.078167000000000098e+00
5.941699999999999759e-01,1.812599000000000071e+00,1.084775000000000045e+00
5.957500000000000018e-01,1.803568000000000060e+00,1.091515000000000013e+00
5.973399999999999821e-01,1.794600999999999891e+00,1.098387000000000002e+00
5.989200000000000079e-01,1.785700999999999983e+00,1.105388999999999955e+00
6.005099999999999882e-01,1.776869000000000032e+00,1.112519999999999953e+00
6.020900000000000141e-01,1.768108000000000013e+00,1.119779000000000080e+00
6.036799999999999944e-01,1.759419000000000066e+00,1.127162999999999915e+00
6.052600000000000202e-01,1.750803000000000109e+00,1.134671999999999903e+00
6.068500000000000005e-01,1.742264000000000035e+00,1.142304999999999904e+00
6.084300000000000264e-01,1.733802999999999983e+00,1.150058000000000025e+00
6.100100000000000522e-01,1.725421000000000094e+00,1.157931000000000044e+00
6.116000000000000325e-01,1.717120999999999897e+00,1.165921999999999903e+00
6.131799999999999473e-01,1.708903999999999979e+00,1.174028999999999989e+00
6.147700000000000387e-01,1.700771999999999951e+00,1.182250000000000023e+00
6.163499999999999535e-01,1.692727000000000093e+00,1.190584000000000087e+00
6.179400000000000448e-01,1.684770000000000101e+00,1.199028999999999900e+00
6.195199999999999596e-01,1.676903000000000032e+00,1.207581999999999933e+00
6.210999999999999854e-01,1.669127999999999945e+00,1.216240999999999906e+00
6.226899999999999658e-01,1.661445999999999978e+00,1.225006000000000039e+00
6.242699999999999916e-01,1.653858999999999968e+00,1.233872000000000080e+00
6.258599999999999719e-01,1.646368000000000054e+00,1.242839000000000027e+00
6.274399999999999977e-01,1.638973999999999931e+00,1.251903999999999906e+00
6.290200000000000236e-01,1.631679000000000102e+00,1.261065000000000103e+00
6.306100000000000039e-01,1.624484999999999957e+00,1.270318999999999976e+00
6.321900000000000297e-01,1.617391000000000023e+00,1.279663999999999913e+00
6.337800000000000100e-01,1.610400999999999971e+00,1.289098999999999995e+00
6.353600000000000358e-01,1.603512999999999966e+00,1.298620000000000108e+00
6.369399999999999507e-01,1.596729999999999983e+00,1.308224999999999971e+00
6.385300000000000420e-01,1.590052999999999939e+00,1.317911999999999972e+00
6.401099999999999568e-01,1.583482999999999974e+00,1.327677999999999914e+00
6.416899999999999826e-01,1.577018999999999949e+00,1.337520999999999960e+00
6.432799999999999629e-01,1.570662999999999920e+00,1.347437999999999914e+00
6.448599999999999888e-01,1.564416000000000029e+00,1.357426999999999939e+00
6.464400000000000146e-01,1.558278999999999970e+00,1.367485999999999979e+00
6.480299999999999949e-01,1.552251000000000047e+00,1.377610999999999919e+00
6.496100000000000207e-01,1.546332999999999958e+00,1.387801999999999980e+00
6.511900000000000466e-01,1.540524999999999922e+00,1.398052999999999990e+00
6.527800000000000269e-01,1.534828000000000081e+00,1.408365000000000089e+00
6.543600000000000527e-01,1.529242999999999908e+00,1.418733999999999940e+00
6.559399999999999675e-01,1.523768000000000011e+00,1.429157000000000011e+00
6.575199999999999934e-01,1.518405000000000005e+00,1.439632000000000023e+00
6.591099999999999737e-01,1.513152999999999970e+00,1.450156999999999918e+00
6.606899999999999995e-01,1.508013000000000048e+00,1.460730000000000084e+00
6.622700000000000253e-01,1.502982999999999958e+00,1.471346999999999960e+00
6.638600000000000056e-01,1.498064000000000062e+00,1.482007000000000074e+00
6.654400000000000315e-01,1.493255999999999917e+00,1.492707000000000006e+00
6.670199999999999463e-01,1.488558999999999966e+00,1.503446000000000060e+00
6.685999999999999721e-01,1.483970999999999929e+00,1.514219999999999899e+00
6.701899999999999524e-01,1.479492999999999947e+00,1.525028000000000050e+00
6.717699999999999783e-01,1.475124000000000102e+00,1.535867000000000093e+00
6.733500000000000041e-01,1.470863999999999949e+00,1.546734999999999971e+00
6.749300000000000299e-01,1.466712000000000016e+00,1.557630999999999988e+00
6.765200000000000102e-01,1.462666999999999939e+00,1.568551000000000029e+00
6.781000000000000361e-01,1.458728999999999942e+00,1.579495000000000093e+00
6.796799999999999509e-01,1.454897000000000107e+00,1.590459000000000067e+00
6.812599999999999767e-01,1.451170000000000071e+00,1.601442999999999950e+00
6.828400000000000025e-01,1.447548000000000057e+00,1.612443999999999988e+00
6.844200000000000284e-01,1.444029000000000007e+00,1.623461000000000043e+00
6.860100000000000087e-01,1.440612999999999921e+00,1.634490999999999916e+00
6.875900000000000345e-01,1.437299000000000104e+00,1.645532999999999912e+00
6.891699999999999493e-01,1.434085999999999972e+00,1.656584999999999974e+00
6.907499999999999751e-01,1.430973000000000050e+00,1.667647000000000101e+00
6.923300000000000010e-01,1.427958999999999978e+00,1.678714000000000039e+00
