wl,n,k
6.126653740645781054e-01,6.537194926579137366e-01,3.115055843984412487e+00
6.146018413282972048e-01,6.551325692674134782e-01,3.130246867894508789e+00
6.165383085920163042e-01,6.565456458769134418e-01,3.145437891804605535e+00
6.184747758557352926e-01,6.579587224864131834e-01,3.160628915714701836e+00
6.204112431194543920e-01,6.593717990959130359e-01,3.175819939624798582e+00
6.223477103831736024e-01,6.607848757054129996e-01,3.191010963534895772e+00
6.242841776468927018e-01,6.621979523149128521e-01,3.206201987444992518e+00
6.262206449106116901e-01,6.636110289244125937e-01,3.221393011355088820e+00
6.281571121743307895e-01,6.650241055339125573e-01,3.236584035265186010e+00
6.300935794380497779e-01,6.664371821434122989e-01,3.251775059175281868e+00
6.320300467017689883e-01,6.692321004706132115e-01,3.266966083085379058e+00
6.339665139654880877e-01,6.721894313171574709e-01,3.282157106995475804e+00
6.359029812292070760e-01,6.751467621637015082e-01,3.297348130905572106e+00
6.378394484929261754e-01,6.781040930102457676e-01,3.312539154815668851e+00
6.397759157566451638e-01,6.810614238567899159e-01,3.327730178725765153e+00
6.417123830203643742e-01,6.840187547033341753e-01,3.341782773443063626e+00
6.436488502840834736e-01,6.869760855498784347e-01,3.355606760184316695e+00
6.455853175478025729e-01,6.899334163964226940e-01,3.369430746925569764e+00
6.475217848115215613e-01,6.928907472429667314e-01,3.383254733666821945e+00
6.494582520752406607e-01,6.958480780895109907e-01,3.397078720408075014e+00
6.513947193389597601e-01,6.988054089360551391e-01,3.410902707149327195e+00
6.533311866026788595e-01,7.017627397825993985e-01,3.424726693890580265e+00
6.552676538663979589e-01,7.047226755885762639e-01,3.438550680631832890e+00
6.572041211301170582e-01,7.076906377424059258e-01,3.452374667373085959e+00
6.591405883938360466e-01,7.106585998962353656e-01,3.466198654114338140e+00
6.610770556575552570e-01,7.136265620500650275e-01,3.480022640855591209e+00
6.630135229212742454e-01,7.165945242038945784e-01,3.495216800407944024e+00
6.649499901849933448e-01,7.195624863577242403e-01,3.510531750391966632e+00
6.668864574487124441e-01,7.225304485115539022e-01,3.525846700375988796e+00
6.688229247124314325e-01,7.254984106653834530e-01,3.541161650360010071e+00
6.707593919761506429e-01,7.284663728192131149e-01,3.556476600344032679e+00
6.726958592398696313e-01,7.314343349730426658e-01,3.571791550328053955e+00
6.746323265035887307e-01,7.344022971268723277e-01,3.587106500312076562e+00
6.765687937673078300e-01,7.373702592807019895e-01,3.602421450296098726e+00
6.785052610310270405e-01,7.403382214345316514e-01,3.617736400280121334e+00
6.804417282947460288e-01,7.433061835883612023e-01,3.633051350264142609e+00
6.823781955584651282e-01,7.462741457421908642e-01,3.648366300248164773e+00
6.843146628221841166e-01,7.492421078960204150e-01,3.663681250232186493e+00
6.862511300859032159e-01,7.522100700498500769e-01,3.678996200216208656e+00
6.881875973496224264e-01,7.551780322036797388e-01,3.693209302494778523e+00
6.901240646133415257e-01,7.581619700332904443e-01,3.707346649753863410e+00
6.920605318770605141e-01,7.611568228934839642e-01,3.721483997012947409e+00
6.939969991407795025e-01,7.641516757536774840e-01,3.735621344272030964e+00
6.959334664044986019e-01,7.671465286138712258e-01,3.749758691531115851e+00
6.978699336682178123e-01,7.701413814740649677e-01,3.763896038790200738e+00
6.998064009319369116e-01,7.731362343342587096e-01,3.778033386049285181e+00
7.017428681956560110e-01,7.761310871944524514e-01,3.792170733308370068e+00
7.036793354593749994e-01,7.791259400546460823e-01,3.806308080567454066e+00
7.056158027230939878e-01,7.821207929148396021e-01,3.820445427826538065e+00
7.075522699868131982e-01,7.851156457750333439e-01,3.834582775085622508e+00
7.094887372505322976e-01,7.876121934108788469e-01,3.848597838110646485e+00
7.114252045142513969e-01,7.897650820408164130e-01,3.861836521876132799e+00
7.133616717779703853e-01,7.919179706707537569e-01,3.875075205641618226e+00
7.152981390416894847e-01,7.940708593006913230e-01,3.888313889407104540e+00
7.172346063054085841e-01,7.962237479306286669e-01,3.901552573172589966e+00
7.191710735691276835e-01,7.983766365605661219e-01,3.914791256938076280e+00
7.211075408328467828e-01,8.005295251905036880e-01,3.928029940703562595e+00
7.230440080965658822e-01,8.026824138204411430e-01,3.941268624469048909e+00
7.249804753602849816e-01,8.048353024503785980e-01,3.954507308234534335e+00
7.269169426240040810e-01,8.069881910803160530e-01,3.967745992000020649e+00
7.288534098877230694e-01,8.091410797102533969e-01,3.980984675765506076e+00
7.307898771514421687e-01,8.112939683401909630e-01,3.994223359530992390e+00
7.327263444151612681e-01,8.134468569701284180e-01,4.007462043296478704e+00
7.346628116788804785e-01,8.157072298665024590e-01,4.020700727061965019e+00
7.365992789425994669e-01,8.195892771810637800e-01,4.033939410827450445e+00
7.385357462063184553e-01,8.234713244956252121e-01,4.047178094592935871e+00
7.404722134700375547e-01,8.273533718101867551e-01,4.060416778358422185e+00
7.424086807337566540e-01,8.312354191247484092e-01,4.073655462123908499e+00
7.443451479974758644e-01,8.351174664393099523e-01,4.086894145889394814e+00
7.462816152611948528e-01,8.389995137538713843e-01,4.100614268778851823e+00
7.482180825249139522e-01,8.428815610684330384e-01,4.114719141139764780e+00
7.501545497886329406e-01,8.467636083829943594e-01,4.128824013500675960e+00
7.520910170523520399e-01,8.506456556975560135e-01,4.142928885861588917e+00
7.540274843160712503e-01,8.545277030121175565e-01,4.157033758222500985e+00
7.559639515797903497e-01,8.584097503266792106e-01,4.171138630583413054e+00
7.579004188435093381e-01,8.624713508191818034e-01,4.185243502944325122e+00
7.598368861072284375e-01,8.669678112882940324e-01,4.199348375305237191e+00
7.617733533709474258e-01,8.714642717574060393e-01,4.213453247666149259e+00
7.637098206346666363e-01,8.759607322265182683e-01,4.227558120027061328e+00
7.656462878983857356e-01,8.804571926956306083e-01,4.241662992387974285e+00
7.675827551621048350e-01,8.849536531647428372e-01,4.255767864748886353e+00
7.695192224258238234e-01,8.894501136338548442e-01,4.269631159705939538e+00
7.714556896895428117e-01,8.939465741029668511e-01,4.282283683166069110e+00
7.733921569532620222e-01,8.984430345720790800e-01,4.294936206626198683e+00
7.753286242169811215e-01,9.009550092004460220e-01,4.307588730086329143e+00
7.772650914807002209e-01,9.028325648979882434e-01,4.320241253546458715e+00
7.792015587444193203e-01,9.047101205955305758e-01,4.332893777006588287e+00
7.811380260081384197e-01,9.065876762930726862e-01,4.345546300466717859e+00
7.830744932718574081e-01,9.084652319906147966e-01,4.358198823926847432e+00
7.850109605355765074e-01,9.103427876881570180e-01,4.370851347386977004e+00
7.869474277992956068e-01,9.122203433856992394e-01,4.383503870847106576e+00
7.888838950630147062e-01,9.140978990832414608e-01,4.396156394307237036e+00
7.908203623267338056e-01,9.159754547807835712e-01,4.408808917767365720e+00
7.927568295904529050e-01,9.178530104783257926e-01,4.421461441227496181e+00
7.946932968541718934e-01,9.197305661758679030e-01,4.434113964687624865e+00
7.966297641178909927e-01,9.221519766836242527e-01,4.446766488147755325e+00
7.985662313816100921e-01,9.259197857577700086e-01,4.459387551022452989e+00
8.005026986453293025e-01,9.296875948319158756e-01,4.471793013202145950e+00
8.024391659090482909e-01,9.334554039060615205e-01,4.484198475381838023e+00
8.043756331727672793e-01,9.372232129802070544e-01,4.496603937561530984e+00
8.063121004364863786e-01,9.409910220543529213e-01,4.509009399741223945e+00
8.082485677002054780e-01,9.447588311284987883e-01,4.521414861920916906e+00
8.101850349639246884e-01,9.485266402026446553e-01,4.533820324100609866e+00
8.121215022276437878e-01,9.522944492767904112e-01,4.546225786280302827e+00
8.140579694913627762e-01,9.560622583509360561e-01,4.558631248459994900e+00
8.159944367550817645e-01,9.598300674250817011e-01,4.571036710639686973e+00
8.179309040188008639e-01,9.635978764992274570e-01,4.583442172819379934e+00
8.198673712825200743e-01,9.673656855733733240e-01,4.595847634999073783e+00
8.218038385462391737e-01,9.711334946475191909e-01,4.609396607249691691e+00
8.237403058099581621e-01,9.752677484992415824e-01,4.623624023682819661e+00
8.256767730736772615e-01,9.812672365950105835e-01,4.637851440115949408e+00
8.276132403373963609e-01,9.872667246907791405e-01,4.652078856549078267e+00
8.295497076011154602e-01,9.932662127865481416e-01,4.666306272982208014e+00
8.314861748648345596e-01,9.992657008823170317e-01,4.680533689415337761e+00
8.334226421285536590e-01,1.005265188978085922e+00,4.694761105848466620e+00
8.353591093922726474e-01,1.011264677073854701e+00,4.708988522281595479e+00
8.372955766559917468e-01,1.017264165169623258e+00,4.723215938714724338e+00
8.392320439197108461e-01,1.023263653265392259e+00,4.737443355147854085e+00
8.411685111834299455e-01,1.029263141361161038e+00,4.751670771580983832e+00
8.431049784471490449e-01,1.035262629456930039e+00,4.765898188014112691e+00
8.450414457108681443e-01,1.041262117552699040e+00,4.780125604447242438e+00
8.469779129745872437e-01,1.047261605648467597e+00,4.794353020880371297e+00
8.489143802383062321e-01,1.053261093744236154e+00,4.808580437313500155e+00
8.508508475020253314e-01,1.059260581840005155e+00,4.822807853746629903e+00
8.527873147657444308e-01,1.065260069935774156e+00,4.834866878477869889e+00
8.547237820294635302e-01,1.071259558031543158e+00,4.846910213889515262e+00
8.566602492931826296e-01,1.077259046127311715e+00,4.858953549301160635e+00
8.585967165569017290e-01,1.083258534223080716e+00,4.870996884712806008e+00
8.605331838206207173e-01,1.089258022318849273e+00,4.883040220124451380e+00
8.624696510843398167e-01,1.094492004609886715e+00,4.895083555536096753e+00
8.644061183480589161e-01,1.099448195801088213e+00,4.907126890947743014e+00
8.663425856117781265e-01,1.104404386992289711e+00,4.919170226359388387e+00
8.682790528754971149e-01,1.109360578183490764e+00,4.931213561771033760e+00
8.702155201392161032e-01,1.114316769374692040e+00,4.943256897182678244e+00
8.721519874029352026e-01,1.119272960565893538e+00,4.955300232594324505e+00
8.740884546666544130e-01,1.124229151757095035e+00,4.967343568005969878e+00
8.760249219303735124e-01,1.129185342948296533e+00,4.979386903417616139e+00
8.779613891940926118e-01,1.134141534139498031e+00,4.991430238829261512e+00
8.798978564578116002e-01,1.139097725330699307e+00,5.003473574240906885e+00
8.818343237215305885e-01,1.144053916521900360e+00,5.015516909652551369e+00
8.837707909852497989e-01,1.147525494616767894e+00,5.027560245064197630e+00
8.857072582489688983e-01,1.150722016474176046e+00,5.038607619996046338e+00
8.876437255126879977e-01,1.153918538331584420e+00,5.049534663101273857e+00
8.895801927764069861e-01,1.157115060188992572e+00,5.060461706206500487e+00
8.915166600401260855e-01,1.160311582046400725e+00,5.071388749311728006e+00
8.934531273038451848e-01,1.163508103903808877e+00,5.082315792416955524e+00
8.953895945675642842e-01,1.166704625761217251e+00,5.093242835522183043e+00
8.973260618312833836e-01,1.169901147618625403e+00,5.104169878627410561e+00
8.992625290950024830e-01,1.173097669476033778e+00,5.115096921732638080e+00
9.011989963587214714e-01,1.176294191333441930e+00,5.126023964837864710e+00
9.031354636224406818e-01,1.179490713190850082e+00,5.136951007943092229e+00
9.050719308861596701e-01,1.182687235048258234e+00,5.147878051048318859e+00
9.070083981498787695e-01,1.185883756905666608e+00,5.158805094153547266e+00
9.089448654135978689e-01,1.189080278763074761e+00,5.169732137258774785e+00
9.108813326773169683e-01,1.192276800620483135e+00,5.180659180364002303e+00
9.128177999410360677e-01,1.195473322477891287e+00,5.191586223469228933e+00
9.147542672047550560e-01,1.198417099644094153e+00,5.202513266574455564e+00
9.166907344684741554e-01,1.200927865538142569e+00,5.215180137531936211e+00
9.186272017321932548e-01,1.203438631432191208e+00,5.227891052911719072e+00
9.205636689959124652e-01,1.205949397326239847e+00,5.240601968291501045e+00
9.225001362596314536e-01,1.208460163220288264e+00,5.253312883671283018e+00
9.244366035233505530e-01,1.210970929114336903e+00,5.266023799051064991e+00
9.263730707870695413e-01,1.214891234773354034e+00,5.278734714430846964e+00
9.283095380507886407e-01,1.220304800211557072e+00,5.291445629810628937e+00
9.302460053145078511e-01,1.225718365649760111e+00,5.304156545190411798e+00
9.321824725782268395e-01,1.231131931087962705e+00,5.316867460570193771e+00
9.341189398419459389e-01,1.236545496526165744e+00,5.329578375949975744e+00
9.360554071056650383e-01,1.241959061964368560e+00,5.342289291329758605e+00
9.379918743693840266e-01,1.247372627402571155e+00,5.355000206709539690e+00
9.399283416331032370e-01,1.252786192840774193e+00,5.367711122089322551e+00
9.418648088968223364e-01,1.258199758278977232e+00,5.380422037469104524e+00
9.438012761605413248e-01,1.263613323717179826e+00,5.393132952848886497e+00
9.457377434242604242e-01,1.267872231939269012e+00,5.405843868228669358e+00
9.476742106879795235e-01,1.270867084799462754e+00,5.417849746102583630e+00
9.496106779516986229e-01,1.273861937659656274e+00,5.429628751821744537e+00
9.515471452154177223e-01,1.276856790519849794e+00,5.441407757540905443e+00
9.534836124791368217e-01,1.279851643380043535e+00,5.453186763260067238e+00
9.554200797428558101e-01,1.282846496240236833e+00,5.464965768979228145e+00
9.573565470065749095e-01,1.285841349100430575e+00,5.476744774698389939e+00
